submission_timestamp,anonymous_id,department,year_of_study,current_semester,highest_scoring_course_code,highest_grade,lowest_scoring_course_code,lowest_grade,attendance_percent,study_hours_week,attends_tutorial,assignment_completion_rate,gpa,course_difficulty,main_challenge,study_group,online_resources,success_factor,preferred_study_time,failed_course_before,laptop_access,internet_quality,lives_in_dorm,part_time_job,sleep_hours_night,mental_health_rating,main_callenge,academic_risk,engagement_score
2025-11-03 08:14:22,panda12,Software Engineering,Year 3,2025/2026 First Semester,CSEg3203,A-,Math2201,C,88.0,12,Yes,95,3.21,3,Time management,Yes,Yes regularly,Study groups and past exams help me most,Evening,No,Yes,Good,Yes,No,7,4,Time management,Low Risk,97.2
2025-11-03 08:33:11,ninja07,Software Engineering,Year 3,2025/2026 First Semester,SEng3201,B+,Math2201,C-,74.0,8,No,79,2.71,4,Programming difficulty,No,Sometimes,Watching YouTube tutorials when stuck,Night,Yes,Yes,Fair,No,No,6,3,Programming difficulty,Moderate Risk,77.2
2025-11-03 08:55:40,bytecoder,Software Engineering,Year 3,2025/2026 First Semester,CSEg3203,A,CSEg3204,B-,93.0,16,Yes,98,3.82,2,None really,Yes,Yes regularly,Consistent revision and coding practice,Morning,No,Yes,Good,No,No,8,5,None really,Low Risk,108.4
2025-11-03 09:10:18,starlite,Software Engineering,Year 3,2025/2026 First Semester,SEng3201,B,Math2201,D+,62.0,5,No,68,2.14,5,Lack of resources,No,Never,Trying to survive exams only,Afternoon,Yes,No,Poor,Yes,Yes,5,2,Lack of resources,High Risk,62.0
2025-11-03 09:31:56,codewave,Software Engineering,Year 3,2025/2026 First Semester,CSEg3203,A,Math2201,B,96.0,20,Yes,100,3.94,2,,Yes,Yes regularly,Discipline and active practice,Morning,No,Yes,Good,No,No,7,5,Unknown,Low Risk,118.4
2025-11-03 09:48:20,matrix21,Software Engineering,Year 3,2025/2026 First Semester,CSEg3203,B+,CSEg3204,C+,81.0,10,Yes,84,3.08,4,Heavy workload,Yes,Sometimes,Doing assignments early,Night,No,Yes,Fair,Yes,No,6,3,Heavy workload,Moderate Risk,86.0
2025-11-03 10:02:44,phoenix5,Software Engineering,Year 3,2025/2026 First Semester,SEng3201,A-,Math2201,C,85.0,13,Yes,90,3.43,3,Stress management,Yes,Yes regularly,Maintaining a consistent routine,Evening,No,Yes,Good,No,No,7,4,Stress management,Low Risk,96.0
2025-11-03 10:18:11,debugking,Software Engineering,Year 3,2025/2026 First Semester,CSEg3203,B+,ECEg3103,C,77.0,9,No,76,2.88,4,Mathematics difficulty,No,Sometimes,Practicing coding daily,Night,Yes,Yes,Fair,Yes,Yes,5,3,Mathematics difficulty,Moderate Risk,79.2
2025-11-03 10:37:29,loopmaster,Software Engineering,Year 3,2025/2026 First Semester,CSEg3203,A-,Math2201,C+,89.0,14,Yes,93,3.58,3,Time management,Yes,Yes regularly,Group discussions and tutorials,Evening,No,Yes,Good,No,No,7,4,Time management,Low Risk,100.80000000000001
2025-11-03 10:55:02,quantum99,Software Engineering,Year 3,2025/2026 First Semester,CSEg3203,B,Math2201,D,69.0,6,No,71,2.39,5,Poor concentration,No,Never,Last minute studying,Night,Yes,No,Poor,Yes,Yes,4,2,Poor concentration,High Risk,68.0
